iter	Passed	Remaining
356	17669	26875
357	17716	26821
358	17759	26762
359	17808	26712
360	17855	26659
361	17941	26664
362	17988	26611
363	18034	26556
364	18089	26514
365	18134	26458
366	18180	26403
367	18225	26347
368	18273	26295
369	18322	26245
370	18366	26188
371	18411	26133
372	18459	26080
373	18506	26027
374	18554	25976
375	18599	25920
376	18677	25910
377	18727	25861
378	18773	25807
379	18818	25751
380	18865	25698
381	18908	25640
382	18953	25584
383	19000	25532
384	19059	25494
385	19141	25488
386	19184	25430
387	19237	25385
388	19281	25328
389	19335	25284
390	19387	25238
391	19435	25186
392	19479	25129
393	19532	25084
394	19577	25028
395	19624	24976
396	19664	24915
397	19713	24864
398	19756	24806
399	19797	24747
400	19842	24692
401	19890	24640
402	19931	24580
403	19983	24534
404	20024	24474
405	20063	24412
406	20121	24372
407	20167	24319
408	20212	24265
409	20258	24211
410	20305	24159
411	20356	24111
412	20400	24055
413	20447	24003
414	20491	23947
415	20535	23892
416	20588	23847
417	20632	23791
418	20680	23740
419	20726	23687
420	20779	23642
421	20821	23584
422	20872	23536
423	20922	23488
424	20972	23439
425	21018	23387
426	21071	23341
427	21142	23315
428	21214	23291
429	21260	23238
430	21306	23184
431	21357	23137
432	21403	23084
433	21450	23031
434	21492	22974
435	21542	22926
436	21590	22874
437	21637	22822
438	21687	22774
439	21730	22717
440	21780	22669
441	21825	22615
442	21871	22562
443	21915	22507
444	21962	22456
445	22007	22402
446	22054	22350
447	22108	22306
448	22156	22255
449	22199	22199
450	22248	22150
451	22291	22094
452	22343	22047
453	22391	21996
454	22441	21948
455	22500	21907
456	22580	21888
457	22627	21837
458	22670	21781
459	22727	21739
460	22769	21683
461	22835	21649
462	22893	21607
463	22961	21576
464	23043	21557
465	23094	21508
466	23155	21469
467	23227	21441
468	23293	21405
469	23340	21353
470	23388	21302
471	23429	21245
472	23471	21188
473	23518	21137
474	23559	21079
475	23605	21026
476	23649	20971
477	23727	20947
478	23778	20899
479	23827	20849
480	23882	20803
481	23925	20748
482	23975	20699
483	24025	20650
484	24072	20597
485	24123	20549
486	24171	20498
487	24220	20448
488	24267	20396
489	24315	20345
490	24363	20294
491	24409	20241
492	24454	20188
493	24497	20133
494	24543	20080
495	24584	20024
496	24624	19966
497	24674	19918
498	24718	19863
499	24757	19805
500	24798	19749
501	24840	19694
502	24886	19642
503	24931	19589
504	24975	19535
505	25015	19478
506	25059	19425
507	25102	19370
508	25158	19326
509	25205	19274
510	25264	19232
511	25329	19194
512	25379	19145
513	25424	19092
514	25469	19040
515	25513	18987
516	25561	18936
517	25604	18882
518	25648	18829
519	25695	18777
520	25747	18729
521	25791	18676
522	25836	18624
523	25880	18570
524	25930	18521
525	25979	18472
526	26028	18422
527	26073	18369
528	26120	18318
529	26178	18275
530	26226	18225
531	26276	18176
532	26324	18125
533	26369	18073
534	26409	18017
535	26453	17964
536	26496	17911
537	26542	17859
538	26583	17804
539	26627	17751
540	26672	17699
541	26718	17647
542	26767	17598
543	26813	17547
544	26859	17495
545	26925	17457
546	26974	17407
547	27022	17357
548	27100	17326
549	27207	17313
550	27289	17285
551	27380	17261
552	27428	17211
553	27466	17154
554	27512	17102
555	27553	17047
556	27602	16997
557	27650	16946
558	27691	16892
559	27735	16839
560	27777	16785
561	27826	16735
562	27869	16681
563	27914	16629
564	27969	16583
565	28062	16560
566	28132	16521
567	28183	16473
568	28234	16424
569	28288	16377
570	28355	16337
571	28401	16286
572	28446	16233
573	28485	16178
574	28550	16137
575	28595	16084
576	28642	16033
577	28691	15983
578	28767	15948
579	28827	15905
580	28873	15853
581	28922	15803
582	28968	15751
583	29014	15699
584	29062	15648
585	29105	15595
586	29151	15544
587	29201	15494
588	29244	15441
589	29287	15388
590	29333	15336
591	29378	15284
592	29447	15245
593	29491	15192
594	29536	15140
595	29583	15089
596	29633	15040
597	29680	14989
598	29734	14941
599	29783	14891
600	29833	14842
601	29884	14793
602	29924	14739
603	29967	14685
604	30010	14633
605	30057	14582
606	30104	14531
607	30152	14481
608	30206	14433
609	30251	14382
610	30297	14330
611	30338	14277
612	30385	14226
613	30430	14174
614	30477	14123
615	30520	14071
616	30565	14019
617	30611	13968
618	30654	13915
619	30698	13863
620	30745	13813
621	30788	13760
622	30836	13710
623	30885	13660
624	30928	13608
625	30976	13558
626	31019	13506
627	31056	13451
628	31103	13400
629	31148	13349
630	31198	13300
631	31259	13255
632	31310	13206
633	31358	13156
634	31407	13107
635	31468	13062
636	31522	13014
637	31567	12963
638	31613	12912
639	31660	12862
640	31704	12810
641	31746	12758
642	31785	12704
643	31833	12654
644	31878	12603
645	31925	12552
646	31972	12502
647	32016	12450
648	32059	12399
649	32106	12348
650	32150	12297
651	32191	12244
652	32249	12198
653	32295	12148
654	32335	12095
655	32373	12041
656	32423	11992
657	32469	11941
658	32518	11892
659	32561	11840
660	32604	11789
661	32651	11738
662	32699	11689
663	32748	11639
664	32793	11588
665	32833	11536
666	32881	11486
667	32926	11435
668	32971	11384
669	33033	11339
670	33088	11292
671	33134	11241
672	33174	11189
673	33223	11140
674	33277	11092
675	33319	11040
676	33363	10989
677	33408	10939
678	33453	10888
679	33507	10840
680	33608	10808
681	33656	10758
682	33705	10708
683	33760	10661
684	33847	10623
685	33917	10580
686	33959	10529
687	34007	10478
688	34073	10434
689	34116	10383
690	34162	10332
691	34210	10283
692	34265	10235
693	34320	10187
694	34363	10136
695	34413	10086
696	34457	10035
697	34500	9984
698	34543	9933
699	34594	9884
700	34644	9834
701	34690	9784
702	34737	9734
703	34781	9683
704	34827	9633
705	34877	9584
706	34926	9534
707	34976	9485
708	35019	9433
709	35064	9383
710	35111	9333
711	35152	9281
712	35199	9231
713	35254	9183
714	35299	9133
715	35346	9083
716	35393	9033
717	35433	8981
718	35485	8932
719	35530	8882
720	35580	8833
721	35660	8791
722	35718	8744
723	35770	8695
724	35816	8645
725	35865	8595
726	35914	8546
727	35958	8495
728	36003	8445
729	36048	8394
730	36097	8345
731	36146	8295
732	36193	8245
733	36239	8195
734	36293	8147
735	36335	8096
736	36380	8046
737	36429	7996
738	36472	7945
739	36514	7894
740	36555	7843
741	36602	7794
742	36652	7744
743	36693	7693
744	36736	7643
745	36784	7593
746	36832	7544
747	36904	7499
748	36953	7449
749	36995	7399
750	37043	7349
751	37088	7299
752	37135	7249
753	37174	7198
754	37222	7148
755	37296	7104
756	37376	7060
757	37464	7018
758	37534	6972
759	37581	6922
760	37634	6874
761	37702	6827
762	37763	6780
763	37809	6730
764	37851	6679
765	37900	6630
766	37947	6580
767	37991	6529
768	38053	6482
769	38112	6434
770	38162	6385
771	38214	6336
772	38258	6285
773	38315	6237
774	38363	6187
775	38410	6137
776	38453	6087
777	38493	6036
778	38539	5986
779	38584	5936
780	38631	5886
781	38676	5836
782	38717	5785
783	38761	5735
784	38812	5685
785	38855	5635
786	38940	5591
787	38994	5542
788	39039	5492
789	39121	5447
790	39171	5397
791	39220	5348
792	39270	5298
793	39318	5249
794	39398	5203
795	39445	5153
796	39496	5104
797	39571	5058
798	39622	5008
799	39667	4958
800	39713	4908
801	39787	4861
802	39838	4812
803	39886	4762
804	39934	4712
805	39982	4663
806	40029	4613
807	40075	4563
808	40121	4513
809	40172	4463
810	40219	4413
811	40269	4364
812	40312	4313
813	40360	4264
814	40406	4214
815	40450	4163
816	40492	4113
817	40535	4063
818	40575	4012
819	40626	3963
820	40670	3913
821	40716	3863
822	40762	3813
823	40810	3764
824	40858	3714
825	40901	3664
826	40946	3614
827	40991	3564
828	41030	3514
829	41082	3464
830	41127	3414
831	41174	3365
832	41220	3315
833	41266	3265
834	41312	3215
835	41364	3166
836	41416	3117
837	41461	3067
838	41507	3017
839	41553	2968
840	41594	2918
841	41640	2868
842	41685	2818
843	41726	2768
844	41775	2719
845	41838	2670
846	41896	2621
847	41948	2572
848	41993	2522
849	42038	2472
850	42086	2423
851	42129	2373
852	42181	2324
853	42223	2274
854	42271	2224
855	42321	2175
856	42369	2125
857	42409	2076
858	42457	2026
859	42505	1976
860	42546	1927
861	42589	1877
862	42637	1828
863	42679	1778
864	42726	1728
865	42769	1679
866	42815	1629
867	42859	1580
868	42901	1530
869	42956	1481
870	43003	1431
871	43057	1382
872	43127	1333
873	43174	1284
874	43221	1234
875	43266	1185
876	43310	1135
877	43365	1086
878	43412	1037
879	43462	987
880	43513	938
881	43563	889
882	43609	839
883	43657	790
884	43700	740
885	43749	691
886	43792	641
887	43837	592
888	43914	543
889	43997	494
890	44049	444
891	44094	395
892	44146	346
893	44199	296
894	44250	247
895	44292	197
896	44337	148
897	44398	98
898	44445	49
899	44497	0
