iter	RMSE
0	20.69013386
1	20.50893286
2	20.31998666
3	20.15103689
4	19.99191214
5	19.85266395
6	19.67868983
7	19.52160186
8	19.39189405
9	19.2747784
10	19.1666073
11	19.04867921
12	18.91634746
13	18.7935568
14	18.68904962
15	18.57349118
16	18.48753379
17	18.38974073
18	18.30527188
19	18.23317961
20	18.14651263
21	18.07089726
22	18.00505554
23	17.92768663
24	17.87251562
25	17.79463289
26	17.73706201
27	17.68626906
28	17.63075522
29	17.58210929
30	17.51297719
31	17.47122223
32	17.42956297
33	17.37687957
34	17.33453298
35	17.28533628
36	17.24137733
37	17.19491562
38	17.13736361
39	17.10116884
40	17.06790019
41	17.03935096
42	17.01090482
43	16.98205869
44	16.95476199
45	16.91780656
46	16.8959035
47	16.87300672
48	16.83525894
49	16.81212837
50	16.7889246
51	16.76007376
52	16.73906257
53	16.72049542
54	16.70221049
55	16.66755973
56	16.64598764
57	16.60782938
58	16.58912293
59	16.5717289
60	16.53996591
61	16.51765444
62	16.50381762
63	16.48281389
64	16.46723976
65	16.43973401
66	16.42261508
67	16.40788146
68	16.39473745
69	16.38128536
70	16.35230972
71	16.33792136
72	16.32422247
73	16.2974831
74	16.2793183
75	16.2660443
76	16.25533617
77	16.24288674
78	16.2337859
79	16.22351005
80	16.21251859
81	16.19048121
82	16.16644553
83	16.15676956
84	16.14446548
85	16.13238731
86	16.12219201
87	16.11383118
88	16.1041467
89	16.08767053
90	16.06836289
91	16.05898232
92	16.04815482
93	16.03976599
94	16.02287357
95	16.01413525
96	16.00642632
97	15.99297643
98	15.9833367
99	15.96629852
100	15.94639819
101	15.93791342
102	15.93202417
103	15.92290074
104	15.91471675
105	15.89569846
106	15.88999522
107	15.88261858
108	15.87564219
109	15.86955042
110	15.86157494
111	15.85354223
112	15.84683848
113	15.83999898
114	15.8284066
115	15.82050696
116	15.81340703
117	15.80714911
118	15.79909064
119	15.79249548
120	15.78530512
121	15.77789284
122	15.77084164
123	15.75654831
124	15.74867039
125	15.74274022
126	15.73722396
127	15.731066
128	15.72133046
129	15.71843341
130	15.71303259
