iter	RMSE
131	15.70716506
132	15.70134164
133	15.69534671
134	15.68890566
135	15.67384036
136	15.66228722
137	15.65144197
138	15.64050512
139	15.63196362
140	15.6272407
141	15.62169186
142	15.61541247
143	15.60937919
144	15.60370481
145	15.59020383
146	15.58583933
147	15.57693754
148	15.57222297
149	15.56876625
150	15.56412374
151	15.55698069
152	15.54907784
153	15.54837238
154	15.53984064
155	15.53072342
156	15.52698381
157	15.51987736
158	15.51760979
159	15.51281235
160	15.50683668
161	15.50220463
162	15.49824623
163	15.49311767
164	15.48059087
165	15.47691082
166	15.4720045
167	15.47077771
168	15.46368735
169	15.45892397
170	15.45626966
171	15.45287982
172	15.44585809
173	15.44028831
174	15.433001
175	15.42609053
176	15.42029548
177	15.41686266
178	15.40906136
179	15.40297495
180	15.39876492
181	15.39479954
182	15.38732981
183	15.38243007
184	15.37995039
185	15.37419426
186	15.36995479
187	15.36548393
188	15.35527857
189	15.35163752
190	15.34658969
191	15.33622533
192	15.33090586
193	15.32691168
194	15.3222185
195	15.31853894
196	15.31065461
197	15.3049754
198	15.30186973
199	15.29117058
200	15.2873369
201	15.27777215
202	15.271677
203	15.26300834
204	15.25844448
205	15.25202209
206	15.24556484
207	15.23834442
208	15.2315443
209	15.22079738
210	15.21274716
211	15.20805098
212	15.19954589
213	15.18995774
214	15.18130372
215	15.17528616
216	15.169435
217	15.16186175
218	15.15733116
219	15.14754592
220	15.14395948
221	15.13688972
222	15.13071484
223	15.1270649
224	15.1218422
225	15.11650051
226	15.10901747
227	15.10442262
228	15.09904501
229	15.0961254
230	15.09134363
231	15.08684467
232	15.08094161
233	15.0788676
234	15.07351025
235	15.07005193
236	15.06516109
237	15.05575981
238	15.05264366
239	15.04680317
240	15.04058629
241	15.03563748
242	15.02832786
243	15.02113653
244	15.0148588
245	15.01058729
246	15.00767101
247	14.99847593
248	14.99242384
249	14.98590365
250	14.97990181
251	14.97429672
252	14.96935008
253	14.96669154
254	14.96281292
255	14.95608285
256	14.94820871
257	14.94008814
258	14.93568767
259	14.93078248
260	14.92473562
261	14.91815389
262	14.91587299
263	14.91274046
264	14.90738556
265	14.90416019
266	14.89919335
267	14.89442707
268	14.88983861
269	14.88466126
270	14.8798137
271	14.87568461
272	14.86800871
273	14.86192553
274	14.85511671
275	14.85045692
276	14.84282196
277	14.83775745
278	14.83367127
279	14.82767053
280	14.82564771
281	14.82014782
282	14.81563209
283	14.81064039
284	14.80457334
285	14.80198419
286	14.79740058
287	14.79403374
288	14.78745302
289	14.78561459
290	14.78335626
291	14.78080871
292	14.77710976
293	14.77145819
294	14.76646272
295	14.76224529
296	14.75653068
297	14.75387613
298	14.74974783
299	14.74634374
300	14.74113659
301	14.73710032
302	14.73387631
303	14.72913846
304	14.72442425
305	14.71845828
306	14.71476628
307	14.70998761
308	14.70427825
309	14.70036059
310	14.69715162
311	14.69373174
312	14.68751153
313	14.68156402
314	14.67623744
315	14.67265076
316	14.66788804
317	14.66180959
318	14.65750203
319	14.65521472
320	14.65203634
321	14.64686934
322	14.6436947
323	14.64140548
324	14.63651455
325	14.63379622
326	14.62980211
327	14.62358973
328	14.61695908
329	14.61186175
330	14.6092444
331	14.60573557
332	14.59931277
333	14.59230879
334	14.58747773
335	14.58122447
336	14.57930659
337	14.57524739
338	14.5726948
339	14.56787095
340	14.56349396
341	14.56210312
342	14.55709471
343	14.55517889
344	14.55212654
345	14.54569366
346	14.53982797
347	14.53614108
348	14.53411748
349	14.53014273
350	14.52867529
351	14.52463819
352	14.52084663
353	14.51806255
354	14.51548131
355	14.51213496
356	14.51058205
357	14.50677179
358	14.49942641
359	14.49623996
360	14.49292145
361	14.48744035
362	14.48299307
363	14.48066413
364	14.4778019
365	14.47566167
366	14.47341693
367	14.4716365
368	14.4685695
369	14.46526903
370	14.46220328
371	14.46112838
372	14.45769818
373	14.45502066
374	14.45094083
375	14.44927172
376	14.44842098
377	14.44248018
378	14.43909359
379	14.43481187
380	14.42974513
381	14.42758708
382	14.42593997
383	14.42174428
384	14.41781574
385	14.41491471
386	14.41091825
387	14.40606897
388	14.40164534
389	14.39651441
390	14.39226284
391	14.38759893
392	14.38524732
393	14.3780893
394	14.37420151
395	14.37238571
396	14.37076729
397	14.36595664
398	14.3643313
399	14.35955849
400	14.35870657
401	14.35774297
402	14.3529371
403	14.34690281
404	14.34401749
405	14.3404807
406	14.3373697
407	14.336501
408	14.33355041
409	14.32685681
410	14.32223145
411	14.31980838
412	14.3151305
413	14.30941469
414	14.30679541
415	14.30174398
416	14.30006319
417	14.29884269
418	14.29694485
419	14.29221919
420	14.28740004
421	14.28392217
422	14.28227487
423	14.27808068
424	14.27195083
425	14.2708108
426	14.26647881
427	14.26449538
428	14.2628773
429	14.25810647
430	14.25512838
431	14.25153235
432	14.2506328
433	14.24655414
434	14.24248284
435	14.24030057
436	14.23638275
437	14.23469568
438	14.23119734
439	14.23074473
440	14.22785197
441	14.22173749
442	14.21765367
443	14.21516046
444	14.21107627
445	14.20648166
446	14.20460419
447	14.20217769
448	14.19841243
449	14.19215549
450	14.18949333
451	14.18512975
452	14.18380648
453	14.1821111
454	14.17942239
455	14.17591634
456	14.17480211
457	14.17193572
458	14.16784628
459	14.16342531
460	14.16177076
461	14.1556357
462	14.15008665
463	14.14494786
464	14.13991368
465	14.13460035
466	14.13066385
467	14.12567765
468	14.12153467
469	14.11881432
470	14.11578161
471	14.11074115
472	14.10602414
473	14.10140257
474	14.09642049
475	14.09389937
476	14.08886129
477	14.08601277
478	14.08456787
479	14.08206305
480	14.07854917
481	14.07709065
482	14.07295071
483	14.06793231
484	14.06625987
485	14.06223823
486	14.05980211
487	14.05629845
488	14.05514969
489	14.04846939
490	14.04666728
491	14.04491741
492	14.04360691
493	14.03966122
494	14.03711336
495	14.03557607
496	14.03214231
497	14.03076694
498	14.02501764
499	14.02290885
500	14.02065497
501	14.01847577
502	14.01334052
503	14.01053837
504	14.00773183
505	14.0050424
506	14.00222003
507	13.99838169
508	13.99292483
509	13.98894456
510	13.9857805
511	13.98326967
512	13.98024861
513	13.97709326
514	13.97271848
515	13.96979247
516	13.96537746
517	13.9615471
518	13.95963628
519	13.95806297
520	13.95404862
521	13.95297547
522	13.9477363
523	13.94640953
524	13.94300448
525	13.93883192
526	13.93590129
527	13.93242411
528	13.92850217
529	13.92555174
530	13.9214255
531	13.91931846
532	13.91551302
533	13.91252694
534	13.90938605
535	13.90568992
536	13.90263489
537	13.90150213
538	13.89925669
539	13.89571444
540	13.89233658
541	13.8882465
542	13.88586199
543	13.8826481
544	13.88052649
545	13.87951203
546	13.87882309
547	13.877216
548	13.87262027
549	13.87019098
550	13.86572023
551	13.86160987
552	13.8566315
553	13.85538886
554	13.85206445
555	13.85002458
556	13.8458538
557	13.84181916
558	13.83878185
559	13.83747428
560	13.83687992
561	13.83503359
562	13.83190367
563	13.82869329
564	13.82695141
565	13.82398174
566	13.82208438
567	13.82030436
568	13.81795031
569	13.81444581
570	13.81084893
571	13.80828339
572	13.80736773
573	13.80480874
574	13.80342747
575	13.80279896
576	13.79883796
577	13.7978782
578	13.79526437
579	13.79058798
580	13.78623574
581	13.78438658
582	13.78040314
583	13.77642583
584	13.7729491
585	13.76990741
586	13.76578616
587	13.7636712
588	13.76319986
589	13.76080024
590	13.7588737
591	13.75701071
592	13.75484738
593	13.75259115
594	13.74892602
595	13.74535282
596	13.7417438
597	13.73870725
598	13.73428057
599	13.73063258
600	13.72780682
601	13.72383654
602	13.7203201
603	13.71631195
604	13.71355175
605	13.7111047
606	13.70776601
607	13.70354144
608	13.69896928
609	13.69619788
610	13.69418001
611	13.69295878
612	13.68940634
613	13.68520179
614	13.68321129
615	13.68126078
616	13.6765079
617	13.67462719
618	13.6703044
619	13.66804127
620	13.66500729
621	13.66403931
622	13.66123872
623	13.65868687
624	13.65669409
625	13.65531377
626	13.65326223
627	13.65204854
628	13.64950184
629	13.64873729
630	13.64713039
631	13.64354445
632	13.64195311
633	13.63727492
634	13.63587303
635	13.63444993
636	13.63046261
637	13.62784108
638	13.62723175
639	13.62523871
640	13.62297657
641	13.62091873
642	13.61820633
643	13.61592713
644	13.6136214
645	13.6110384
646	13.60778149
647	13.60465334
648	13.60155948
649	13.59868431
650	13.59440001
651	13.59270489
652	13.59024353
653	13.58861735
654	13.58744968
655	13.58570626
656	13.58193742
657	13.57806626
658	13.57487994
659	13.5733597
660	13.57026163
661	13.56759623
662	13.56494331
663	13.56428644
664	13.56097687
665	13.55983861
666	13.55839361
667	13.55452452
668	13.55335575
669	13.55248178
670	13.54946203
671	13.54666384
672	13.54542507
673	13.54302482
674	13.54133355
675	13.53993326
676	13.53810333
677	13.53516206
678	13.53415615
679	13.53263958
680	13.52933162
681	13.52599492
682	13.52487256
683	13.52273877
684	13.52017785
685	13.51821789
686	13.51651722
687	13.51250607
688	13.51126736
689	13.50694881
690	13.50393375
691	13.50132846
692	13.49817506
693	13.49504525
694	13.49316891
695	13.49028177
696	13.48910254
697	13.4869895
698	13.48612147
699	13.48385378
700	13.48165499
701	13.48029799
702	13.47442092
703	13.4727184
704	13.4679762
705	13.46687029
706	13.46481399
707	13.46295624
708	13.46168651
709	13.45942663
710	13.45633966
711	13.45224845
712	13.45001423
713	13.44864892
714	13.44739466
715	13.44519078
716	13.44211074
717	13.43983349
718	13.4370667
719	13.4343898
720	13.43255863
721	13.43023155
722	13.4287645
723	13.42745131
724	13.42631923
725	13.42225123
726	13.42124978
727	13.41979123
728	13.41693551
729	13.41514148
730	13.41293652
731	13.4107791
732	13.40921728
733	13.40853068
734	13.40697793
735	13.40414852
736	13.40182675
737	13.40000298
738	13.39795133
739	13.39477211
740	13.39361425
741	13.39156188
742	13.38857948
743	13.38742184
744	13.38559782
745	13.38318655
746	13.37745219
747	13.37489536
748	13.37206964
749	13.36923444
750	13.36730795
751	13.36604644
752	13.36117061
753	13.35911285
754	13.35678675
755	13.35418266
756	13.35064242
757	13.34987908
758	13.34819218
759	13.34471254
760	13.34136788
761	13.3395578
762	13.33632669
763	13.33195204
764	13.33165962
765	13.32854954
766	13.3253444
767	13.32255602
768	13.32077562
769	13.31725378
770	13.31476883
771	13.31346443
772	13.31088913
773	13.30968463
774	13.30826379
775	13.30550985
776	13.3027949
777	13.29894868
778	13.29478453
779	13.29423325
780	13.29237598
781	13.28871863
782	13.2878535
783	13.28494501
784	13.28296551
785	13.28023031
786	13.27751063
787	13.27644744
788	13.27310298
789	13.27115743
790	13.26761803
791	13.26620548
792	13.26446527
793	13.26386336
794	13.26184029
795	13.25947868
796	13.25645972
797	13.25602233
798	13.25278566
799	13.25131965
800	13.24957909
801	13.24615757
802	13.24408528
803	13.23946065
804	13.23580647
805	13.23254252
806	13.23072355
807	13.2289515
808	13.2246358
809	13.22328433
810	13.21999197
811	13.2186636
812	13.21714216
813	13.21408343
814	13.21155028
815	13.20769664
816	13.20640484
817	13.20487494
818	13.20278181
819	13.20006549
820	13.1967938
821	13.19389959
822	13.19236206
823	13.18997327
824	13.1876414
825	13.1839234
826	13.18288391
827	13.18034004
828	13.17845427
829	13.17718332
830	13.17240219
831	13.17064653
832	13.16902501
833	13.16660517
834	13.16345763
835	13.16163351
836	13.1573579
837	13.15464633
838	13.15094245
839	13.1491856
840	13.14613817
841	13.14480642
842	13.14133472
843	13.13560636
844	13.13258879
845	13.1321635
846	13.12957432
847	13.12396365
848	13.12265831
849	13.11838638
850	13.11657819
851	13.1144601
852	13.111751
853	13.11119466
854	13.10887931
855	13.10671873
856	13.10342735
857	13.10089024
858	13.09953525
859	13.09770604
860	13.09561801
861	13.09277765
862	13.08989652
863	13.08769135
864	13.08537841
865	13.08301168
866	13.08021904
867	13.07794028
868	13.07688122
869	13.0748123
870	13.07222099
871	13.06772357
872	13.06569446
873	13.06256774
874	13.0601342
875	13.05667397
876	13.05512264
877	13.05129301
878	13.04993021
879	13.04705579
880	13.04350667
881	13.0404253
882	13.03856557
883	13.03655668
884	13.03373142
885	13.03170473
886	13.03138724
887	13.02997359
888	13.02877455
889	13.02700525
890	13.02456822
891	13.02277592
892	13.02107881
893	13.01596864
894	13.01299143
895	13.01028363
896	13.00723159
897	13.00497836
898	13.00435843
899	13.00296258
